PM2.5,NTC,CT1,CT2,CT3,CT4,temp_max,state,timestamp
11,27.1,1.82,0.98,0.35,0.3,45.8,0,2025-08-26 13:52:06
12,27.0,2.01,1.1,0.3,0.38,45.86,0,2025-08-26 13:52:07
12,27.03,2.29,0.94,0.34,0.38,45.94,0,2025-08-26 13:52:08
12,27.1,2.32,0.84,0.37,0.36,45.98,0,2025-08-26 13:52:09
12,27.1,1.99,0.96,0.39,0.3,46.03,0,2025-08-26 13:52:10
12,27.1,2.06,1.1,0.32,0.39,45.9,0,2025-08-26 13:52:11
12,27.01,2.3,0.87,0.37,0.34,45.9,0,2025-08-26 13:52:12
13,27.0,1.97,1.01,0.34,0.32,45.91,0,2025-08-26 13:52:13
12,27.0,2.17,1.07,0.36,0.38,45.93,0,2025-08-26 13:52:14
12,27.06,2.27,0.91,0.4,0.32,45.9,0,2025-08-26 13:52:15
12,27.1,1.94,1.09,0.35,0.35,45.92,0,2025-08-26 13:52:16
12,27.1,2.27,0.97,0.37,0.4,45.93,0,2025-08-26 13:52:17
12,27.1,2.21,0.92,0.4,0.31,45.94,0,2025-08-26 13:52:18
12,27.1,2.0,1.16,0.31,0.36,45.98,0,2025-08-26 13:52:19
12,27.1,2.29,0.95,0.4,0.38,45.89,0,2025-08-26 13:52:20
12,27.1,2.11,0.94,0.4,0.3,45.92,0,2025-08-26 13:52:21
12,27.1,2.06,1.0,0.3,0.34,45.85,0,2025-08-26 13:52:22
12,27.1,2.23,0.82,0.4,0.34,46.37,0,2025-08-26 13:52:23
11,27.1,1.98,1.0,0.36,0.3,46.96,0,2025-08-26 13:52:24
12,27.1,2.06,1.12,0.31,0.4,47.57,0,2025-08-26 13:52:25
12,27.1,2.31,0.87,0.4,0.34,47.96,0,2025-08-26 13:52:26
13,27.1,1.91,1.07,0.34,0.32,48.37,0,2025-08-26 13:52:27
11,27.1,2.17,1.03,0.33,0.4,48.67,0,2025-08-26 13:52:28
12,27.1,2.26,0.94,0.4,0.31,49.25,0,2025-08-26 13:52:29
12,27.08,1.92,1.04,0.34,0.37,49.69,0,2025-08-26 13:52:30
13,27.0,2.24,0.98,0.33,0.39,49.93,0,2025-08-26 13:52:31
12,27.06,2.14,0.93,0.4,0.3,50.59,0,2025-08-26 13:52:32
11,27.1,1.99,1.09,0.31,0.35,50.99,0,2025-08-26 13:52:33
12,27.18,2.3,0.9,0.37,0.38,51.4,0,2025-08-26 13:52:34
12,27.19,2.04,0.97,0.39,0.3,51.72,0,2025-08-26 13:52:35
11,27.1,2.03,1.08,0.3,0.38,52.04,0,2025-08-26 13:52:36
12,27.1,2.25,0.88,0.4,0.38,52.53,0,2025-08-26 13:52:37
12,27.1,2.02,0.98,0.33,0.32,53.01,0,2025-08-26 13:52:38
12,27.18,2.2,1.03,0.34,0.4,53.3,0,2025-08-26 13:52:39
13,27.19,2.21,0.88,0.4,0.3,53.61,0,2025-08-26 13:52:40
13,27.1,1.98,1.05,0.32,0.35,54.04,0,2025-08-26 13:52:41
12,27.08,2.28,0.94,0.36,0.4,54.34,0,2025-08-26 13:52:42
11,27.0,2.17,0.91,0.4,0.3,54.69,0,2025-08-26 13:52:43
12,27.07,2.02,1.13,0.31,0.32,55.05,0,2025-08-26 13:52:44
12,27.1,2.23,0.86,0.4,0.37,55.37,0,2025-08-26 13:52:45
12,27.2,2.06,0.96,0.37,0.3,55.72,0,2025-08-26 13:52:46
12,27.18,2.09,1.17,0.33,0.36,55.92,0,2025-08-26 13:52:47
12,27.1,2.24,0.83,0.4,0.36,56.22,0,2025-08-26 13:52:48
12,27.1,1.96,1.01,0.38,0.3,56.53,0,2025-08-26 13:52:49
12,27.1,2.06,1.08,0.32,0.39,56.89,0,2025-08-26 13:52:50
13,27.1,2.29,0.86,0.38,0.32,57.29,0,2025-08-26 13:52:51
12,27.1,1.92,1.06,0.35,0.32,57.57,0,2025-08-26 13:52:52
12,27.1,2.12,1.01,0.36,0.4,57.83,0,2025-08-26 13:52:53
12,27.14,2.29,0.91,0.4,0.3,58.13,0,2025-08-26 13:52:54
12,27.2,1.94,1.06,0.34,0.34,58.4,0,2025-08-26 13:52:55
12,27.2,2.21,0.92,0.32,0.4,58.71,0,2025-08-26 13:52:56
13,27.2,2.1,0.94,0.4,0.3,58.95,0,2025-08-26 13:52:57
12,27.1,1.99,1.08,0.31,0.39,59.32,0,2025-08-26 13:52:58
12,27.12,2.3,0.89,0.35,0.38,59.56,0,2025-08-26 13:52:59
12,27.2,2.1,0.97,0.4,0.3,59.8,0,2025-08-26 13:53:00
12,27.14,2.02,1.08,0.3,0.4,60.15,0,2025-08-26 13:53:01
13,27.1,2.36,0.87,0.38,0.37,60.43,0,2025-08-26 13:53:02
12,27.1,1.93,1.0,0.38,0.31,60.58,0,2025-08-26 13:53:03
