device_name,collection_date,collection_time,PM2.5,NTC,CT1,CT2,CT3,CT4,temp_max,state,timestamp
A1,2025-8-26,15:21:38,12,27.3,2.01,0.84,0.55,0.3,47.01,0,2025-08-26 15:21:38
A1,2025-8-26,15:21:39,13,27.3,1.9,0.94,0.52,0.3,47.09,0,2025-08-26 15:21:39
A1,2025-8-26,15:21:40,13,27.3,1.99,1.03,0.46,0.37,47.03,0,2025-08-26 15:21:40
A1,2025-8-26,15:21:41,12,27.2,2.34,0.74,0.52,0.36,47.02,0,2025-08-26 15:21:41
A1,2025-8-26,15:21:42,12,27.2,2.04,0.93,0.54,0.33,47.01,0,2025-08-26 15:21:42
A1,2025-8-26,15:21:43,12,27.2,2.11,1.0,0.47,0.4,47.02,0,2025-08-26 15:21:43
A1,2025-8-26,15:21:44,11,27.22,2.28,0.72,0.56,0.36,47.13,0,2025-08-26 15:21:44
A1,2025-8-26,15:21:45,12,27.26,2.23,0.83,0.52,0.38,47.14,0,2025-08-26 15:21:45
A1,2025-8-26,15:21:46,13,27.3,2.18,0.93,0.48,0.4,47.8,0,2025-08-26 15:21:46
A1,2025-8-26,15:21:47,12,27.3,2.28,0.76,0.56,0.32,47.92,0,2025-08-26 15:21:47
A1,2025-8-26,15:21:48,12,27.3,1.93,0.92,0.49,0.34,48.13,0,2025-08-26 15:21:48
A1,2025-8-26,15:21:49,12,27.26,2.22,0.89,0.52,0.4,48.11,0,2025-08-26 15:21:49
A1,2025-8-26,15:21:50,13,27.2,2.24,0.79,0.56,0.3,48.34,0,2025-08-26 15:21:50
A1,2025-8-26,15:21:51,12,27.2,1.94,1.02,0.49,0.34,48.5,0,2025-08-26 15:21:51
A1,2025-8-26,15:21:52,11,27.2,2.26,0.83,0.5,0.38,48.39,0,2025-08-26 15:21:52
A1,2025-8-26,15:21:53,12,27.2,2.12,0.86,0.56,0.31,48.43,0,2025-08-26 15:21:53
A1,2025-8-26,15:21:54,12,27.2,2.02,0.96,0.46,0.39,48.41,0,2025-08-26 15:21:54
A1,2025-8-26,15:21:55,12,27.2,2.34,0.84,0.54,0.36,48.42,0,2025-08-26 15:21:55
A1,2025-8-26,15:21:56,12,27.2,2.04,0.84,0.55,0.3,48.43,0,2025-08-26 15:21:56
A1,2025-8-26,15:21:57,13,27.2,2.08,1.0,0.48,0.36,48.44,0,2025-08-26 15:21:57
A1,2025-8-26,15:21:58,11,27.2,2.28,0.74,0.56,0.36,48.36,0,2025-08-26 15:21:58
A1,2025-8-26,15:21:59,12,27.17,1.98,0.93,0.52,0.32,48.29,0,2025-08-26 15:21:59
A1,2025-8-26,15:22:00,12,27.1,2.09,0.99,0.5,0.4,48.28,0,2025-08-26 15:22:00
A1,2025-8-26,15:22:01,12,27.16,2.28,0.79,0.56,0.33,48.27,0,2025-08-26 15:22:01
A1,2025-8-26,15:22:02,13,27.2,1.91,0.94,0.5,0.34,48.35,0,2025-08-26 15:22:02
A1,2025-8-26,15:22:03,13,27.2,2.15,1.0,0.49,0.4,48.39,0,2025-08-26 15:22:03
A1,2025-8-26,15:22:04,12,27.19,2.12,0.84,0.56,0.3,48.31,0,2025-08-26 15:22:04
A1,2025-8-26,15:22:05,12,27.1,1.99,0.98,0.47,0.33,48.22,0,2025-08-26 15:22:05
A1,2025-8-26,15:22:06,12,27.14,2.33,0.83,0.54,0.39,48.05,0,2025-08-26 15:22:06
A1,2025-8-26,15:22:07,12,27.2,2.06,0.86,0.54,0.3,48.09,0,2025-08-26 15:22:07
A1,2025-8-26,15:22:08,12,27.12,2.01,1.04,0.46,0.39,48.15,0,2025-08-26 15:22:08
A1,2025-8-26,15:22:09,12,27.1,2.27,0.76,0.52,0.36,48.04,0,2025-08-26 15:22:09
A1,2025-8-26,15:22:10,13,27.1,1.96,0.92,0.55,0.32,47.98,0,2025-08-26 15:22:10
A1,2025-8-26,15:22:11,12,27.13,2.09,1.04,0.46,0.4,47.93,0,2025-08-26 15:22:11
A1,2025-8-26,15:22:12,12,27.2,2.29,0.76,0.56,0.33,47.9,0,2025-08-26 15:22:12
A1,2025-8-26,15:22:13,12,27.14,1.91,0.9,0.51,0.36,47.93,0,2025-08-26 15:22:13
A1,2025-8-26,15:22:14,11,27.1,2.16,0.91,0.48,0.4,47.93,0,2025-08-26 15:22:14
A1,2025-8-26,15:22:15,12,27.1,2.3,0.78,0.56,0.32,47.94,0,2025-08-26 15:22:15
A1,2025-8-26,15:22:16,11,27.13,1.99,0.97,0.49,0.36,47.82,0,2025-08-26 15:22:16
A1,2025-8-26,15:22:17,13,27.2,2.18,0.85,0.52,0.4,47.83,0,2025-08-26 15:22:17
A1,2025-8-26,15:22:18,12,27.2,2.19,0.79,0.56,0.3,47.88,0,2025-08-26 15:22:18
A1,2025-8-26,15:22:19,11,27.2,1.97,1.0,0.47,0.34,47.87,0,2025-08-26 15:22:19
A1,2025-8-26,15:22:20,12,27.11,2.23,0.82,0.53,0.38,47.82,0,2025-08-26 15:22:20
A1,2025-8-26,15:22:21,12,27.1,2.09,0.85,0.56,0.3,47.78,0,2025-08-26 15:22:21
A1,2025-8-26,15:22:22,12,27.1,1.99,1.04,0.47,0.37,47.78,0,2025-08-26 15:22:22
A1,2025-8-26,15:22:23,12,27.1,2.29,0.8,0.53,0.37,47.78,0,2025-08-26 15:22:23
A1,2025-8-26,15:22:24,12,27.1,1.96,0.91,0.56,0.32,47.79,0,2025-08-26 15:22:24
A1,2025-8-26,15:22:25,12,27.1,2.11,1.0,0.5,0.4,47.79,0,2025-08-26 15:22:25
A1,2025-8-26,15:22:26,12,27.1,2.3,0.72,0.56,0.36,47.76,0,2025-08-26 15:22:26
A1,2025-8-26,15:22:27,12,27.2,1.99,0.9,0.5,0.3,47.59,0,2025-08-26 15:22:27
A1,2025-8-26,15:22:28,12,27.17,2.04,0.98,0.46,0.38,47.59,0,2025-08-26 15:22:28
A1,2025-8-26,15:22:29,11,27.1,2.32,0.79,0.55,0.32,47.56,0,2025-08-26 15:22:29
A1,2025-8-26,15:22:30,12,27.1,1.94,0.98,0.52,0.36,47.62,0,2025-08-26 15:22:30
A1,2025-8-26,15:22:31,12,27.1,2.2,0.92,0.49,0.4,47.59,0,2025-08-26 15:22:31
A1,2025-8-26,15:22:32,12,27.1,2.14,0.76,0.56,0.32,47.53,0,2025-08-26 15:22:32
A1,2025-8-26,15:22:33,13,27.1,2.0,1.02,0.48,0.32,47.57,0,2025-08-26 15:22:33
A1,2025-8-26,15:22:34,13,27.1,1.99,0.96,0.51,0.31,47.52,0,2025-08-26 15:22:34
A1,2025-8-26,15:22:35,13,27.1,1.99,0.9,0.54,0.3,47.37,0,2025-08-26 15:22:35
A1,2025-8-26,15:22:36,11,27.1,2.08,1.07,0.49,0.4,47.37,0,2025-08-26 15:22:36
A1,2025-8-26,15:22:37,13,27.1,2.29,0.8,0.54,0.35,47.37,0,2025-08-26 15:22:37
A1,2025-8-26,15:22:38,11,27.1,1.93,0.91,0.5,0.31,47.37,0,2025-08-26 15:22:38
A1,2025-8-26,15:22:39,12,27.1,2.17,0.94,0.49,0.38,47.39,0,2025-08-26 15:22:39
A1,2025-8-26,15:22:40,11,27.1,2.24,0.77,0.56,0.34,47.63,0,2025-08-26 15:22:40
A1,2025-8-26,15:22:41,13,27.1,1.98,0.96,0.49,0.32,47.65,0,2025-08-26 15:22:41
A1,2025-8-26,15:22:42,12,27.1,2.16,0.89,0.5,0.42,47.67,0,2025-08-26 15:22:42
A1,2025-8-26,15:22:43,12,27.1,2.22,0.83,0.54,0.32,47.54,0,2025-08-26 15:22:43
A1,2025-8-26,15:22:44,12,27.1,1.94,1.06,0.49,0.37,47.46,0,2025-08-26 15:22:44
A1,2025-8-26,15:22:45,12,27.1,2.24,0.85,0.52,0.41,47.43,0,2025-08-26 15:22:45
A1,2025-8-26,15:22:46,12,27.1,2.08,0.88,0.56,0.35,47.46,0,2025-08-26 15:22:46
A1,2025-8-26,15:22:47,13,27.1,2.04,1.03,0.46,0.44,47.49,0,2025-08-26 15:22:47
A1,2025-8-26,15:22:48,12,27.1,2.28,0.8,0.55,0.4,47.47,0,2025-08-26 15:22:48
A1,2025-8-26,15:22:49,12,27.01,2.04,0.91,0.55,0.35,47.48,0,2025-08-26 15:22:49
A1,2025-8-26,15:22:50,11,27.02,2.07,1.06,0.47,0.43,47.41,0,2025-08-26 15:22:50
A1,2025-8-26,15:22:51,12,27.1,2.36,0.82,0.56,0.4,47.44,0,2025-08-26 15:22:51
A1,2025-8-26,15:22:52,13,27.1,1.92,0.96,0.53,0.36,47.49,0,2025-08-26 15:22:52
A1,2025-8-26,15:22:53,13,27.1,2.12,1.02,0.47,0.44,47.38,0,2025-08-26 15:22:53
A1,2025-8-26,15:22:54,12,27.1,2.33,0.85,0.55,0.4,47.28,0,2025-08-26 15:22:54
A1,2025-8-26,15:22:55,12,27.1,1.96,1.0,0.5,0.39,47.36,0,2025-08-26 15:22:55
A1,2025-8-26,15:22:56,11,27.1,2.18,0.99,0.53,0.47,47.31,0,2025-08-26 15:22:56
A1,2025-8-26,15:22:57,12,27.1,2.21,0.89,0.56,0.4,47.24,0,2025-08-26 15:22:57
A1,2025-8-26,15:22:58,12,27.1,1.97,1.08,0.49,0.45,47.27,0,2025-08-26 15:22:58
A1,2025-8-26,15:22:59,13,27.1,2.18,0.96,0.47,0.5,47.31,0,2025-08-26 15:22:59
A1,2025-8-26,15:23:00,12,27.1,2.08,0.95,0.56,0.41,47.3,0,2025-08-26 15:23:00
A1,2025-8-26,15:23:01,12,27.1,2.0,1.12,0.46,0.5,47.3,0,2025-08-26 15:23:01
A1,2025-8-26,15:23:02,12,27.1,2.31,0.87,0.52,0.5,47.31,0,2025-08-26 15:23:02
A1,2025-8-26,15:23:03,12,27.1,2.06,1.01,0.56,0.44,47.23,0,2025-08-26 15:23:03
A1,2025-8-26,15:23:04,12,27.16,2.04,1.14,0.46,0.53,47.17,0,2025-08-26 15:23:04
A1,2025-8-26,15:23:05,11,27.2,2.3,0.98,0.56,0.44,47.2,0,2025-08-26 15:23:05
A1,2025-8-26,15:23:06,12,27.2,1.95,1.06,0.5,0.46,47.23,0,2025-08-26 15:23:06
A1,2025-8-26,15:23:07,11,27.18,2.22,1.09,0.51,0.52,47.18,0,2025-08-26 15:23:07
A1,2025-8-26,15:23:08,12,27.1,2.16,0.94,0.56,0.47,47.22,0,2025-08-26 15:23:08
A1,2025-8-26,15:23:09,12,27.1,1.96,1.18,0.47,0.48,47.31,0,2025-08-26 15:23:09
A1,2025-8-26,15:23:10,12,27.1,2.2,1.0,0.51,0.56,47.39,0,2025-08-26 15:23:10
A1,2025-8-26,15:23:11,12,27.18,2.14,1.0,0.56,0.48,47.33,0,2025-08-26 15:23:11
A1,2025-8-26,15:23:12,12,27.2,1.99,1.19,0.47,0.53,47.31,0,2025-08-26 15:23:12
A1,2025-8-26,15:23:13,11,27.2,2.33,0.99,0.54,0.56,47.73,0,2025-08-26 15:23:13
A1,2025-8-26,15:23:14,12,27.2,2.01,1.05,0.54,0.51,48.41,0,2025-08-26 15:23:14
A1,2025-8-26,15:23:15,12,27.2,2.04,1.23,0.46,0.58,49.01,0,2025-08-26 15:23:15
A1,2025-8-26,15:23:16,12,27.2,2.3,0.97,0.53,0.57,49.64,0,2025-08-26 15:23:16
A1,2025-8-26,15:23:17,12,27.2,1.97,1.17,0.54,0.56,50.37,0,2025-08-26 15:23:17
A1,2025-8-26,15:23:18,12,27.2,2.12,1.24,0.47,0.65,51.06,0,2025-08-26 15:23:18
A1,2025-8-26,15:23:19,12,27.18,2.36,1.02,0.56,0.58,51.69,0,2025-08-26 15:23:19
A1,2025-8-26,15:23:20,12,27.1,1.93,1.17,0.51,0.57,52.31,0,2025-08-26 15:23:20
A1,2025-8-26,15:23:21,11,27.16,2.1,1.19,0.46,0.68,52.85,0,2025-08-26 15:23:21
A1,2025-8-26,15:23:22,12,27.2,2.21,1.07,0.53,0.6,53.42,0,2025-08-26 15:23:22
A1,2025-8-26,15:23:23,12,27.2,1.94,1.3,0.49,0.64,53.84,0,2025-08-26 15:23:23
A1,2025-8-26,15:23:24,11,27.2,2.18,1.16,0.5,0.7,54.33,0,2025-08-26 15:23:24
A1,2025-8-26,15:23:25,12,27.2,2.16,1.16,0.56,0.63,54.72,0,2025-08-26 15:23:25
A1,2025-8-26,15:23:26,12,27.24,2.02,1.31,0.48,0.7,55.24,0,2025-08-26 15:23:26
A1,2025-8-26,15:23:27,12,27.3,2.23,1.12,0.54,0.72,55.51,0,2025-08-26 15:23:27
A1,2025-8-26,15:23:28,12,27.22,2.07,1.24,0.54,0.67,56.0,0,2025-08-26 15:23:28
A1,2025-8-26,15:23:29,13,27.2,2.01,1.46,0.45,0.76,56.46,0,2025-08-26 15:23:29
A1,2025-8-26,15:23:30,12,27.3,2.32,1.18,0.5,0.73,56.82,0,2025-08-26 15:23:30
A1,2025-8-26,15:23:31,12,27.3,1.93,1.32,0.53,0.73,57.24,0,2025-08-26 15:23:31
A1,2025-8-26,15:23:32,12,27.3,2.1,1.39,0.45,0.83,57.73,1,2025-08-26 15:23:32
A1,2025-8-26,15:23:33,12,27.3,2.29,1.15,0.55,0.78,58.16,1,2025-08-26 15:23:33
A1,2025-8-26,15:23:34,12,27.3,1.97,1.36,0.5,0.8,58.54,1,2025-08-26 15:23:34
A1,2025-8-26,15:23:35,12,27.3,2.08,1.56,0.45,0.83,58.82,1,2025-08-26 15:23:35
A1,2025-8-26,15:23:36,13,27.3,2.05,1.33,0.55,0.79,59.16,1,2025-08-26 15:23:36
A1,2025-8-26,15:23:37,12,27.3,2.01,1.52,0.46,0.86,59.49,1,2025-08-26 15:23:37
A1,2025-8-26,15:23:38,12,27.36,2.31,1.32,0.52,0.88,59.78,1,2025-08-26 15:23:38
A1,2025-8-26,15:23:39,12,27.4,2.01,1.4,0.53,0.85,60.12,1,2025-08-26 15:23:39
A1,2025-8-26,15:23:40,12,27.4,2.1,1.53,0.46,0.93,60.5,1,2025-08-26 15:23:40
A1,2025-8-26,15:23:41,11,27.4,2.27,1.34,0.55,0.92,60.94,1,2025-08-26 15:23:41
A1,2025-8-26,15:23:42,12,27.4,1.91,1.51,0.51,0.91,61.2,1,2025-08-26 15:23:42
A1,2025-8-26,15:23:43,11,27.44,2.08,1.59,0.45,1.02,61.54,1,2025-08-26 15:23:43
A1,2025-8-26,15:23:44,12,27.5,2.3,1.44,0.53,0.97,61.91,1,2025-08-26 15:23:44
A1,2025-8-26,15:23:45,12,27.5,1.96,1.63,0.49,1.01,62.26,1,2025-08-26 15:23:45
A1,2025-8-26,15:23:46,11,27.5,2.18,1.61,0.5,1.11,62.54,1,2025-08-26 15:23:46
A1,2025-8-26,15:23:47,12,27.5,2.22,1.52,0.55,1.05,62.92,1,2025-08-26 15:23:47
A1,2025-8-26,15:23:48,12,27.53,1.93,1.73,0.47,1.1,63.23,1,2025-08-26 15:23:48
